ticker,market_date,price,open,high,low,volume,change
ETH,4/18/2020,187.45,170.63,189.22,170.61,24.75M,9.85%
ETH,4/17/2020,170.63,172.32,174.52,168.55,20.05M,-0.97%
ETH,4/16/2020,172.31,152.9,174.28,148.91,32.99M,12.69%
ETH,4/15/2020,152.9,158.43,161.06,152.44,20.70M,-3.50%
ETH,4/14/2020,158.45,156.36,161.57,155.52,21.20M,1.33%
ETH,4/13/2020,156.38,158.76,158.85,150.6,25.30M,-1.48%
ETH,4/12/2020,158.73,158.18,164.75,155.17,22.60M,0.35%
ETH,4/11/2020,158.18,157.85,161.37,154.01,19.07M,0.20%
ETH,4/10/2020,157.86,169.67,170.1,152.52,28.35M,-6.97%
ETH,4/9/2020,169.68,173.01,173.2,165.91,20.66M,-1.92%
ETH,4/8/2020,173,164.71,174.23,163.73,24.31M,5.03%
ETH,4/7/2020,164.71,171.07,175.78,162.75,35.79M,-3.71%
ETH,4/6/2020,171.06,142.58,171.24,142.55,37.89M,19.97%
ETH,4/5/2020,142.58,144.03,145.26,140.84,18.17M,-0.99%
ETH,4/4/2020,144.01,141.13,145.71,139.36,19.75M,2.03%
ETH,4/3/2020,141.14,141.29,146.46,138.01,23.34M,-0.11%
ETH,4/2/2020,141.3,135.65,148.91,135.26,29.42M,4.16%
ETH,4/1/2020,135.66,132.88,136.56,128.93,19.45M,2.10%
ETH,3/31/2020,132.86,132.15,135.14,130.54,17.30M,0.54%
ETH,3/30/2020,132.15,125.24,134.72,125.02,20.71M,5.52%
ETH,3/29/2020,125.24,131.02,131.74,124.84,16.33M,-4.42%
ETH,3/28/2020,131.03,131.74,132.68,125.48,21.03M,-0.54%
ETH,3/27/2020,131.74,138.38,140.99,131.09,18.18M,-4.80%
ETH,3/26/2020,138.38,136.08,139.22,133.69,17.71M,1.70%
ETH,3/25/2020,136.07,138.59,141.88,133.06,24.15M,-1.84%
ETH,3/24/2020,138.62,136,142.9,132.67,27.10M,1.91%
ETH,3/23/2020,136.02,122.46,136.93,120.2,28.62M,11.12%
ETH,3/22/2020,122.41,132.59,136.86,121.37,25.25M,-7.67%
ETH,3/21/2020,132.58,133.32,137.33,126.01,27.00M,-0.56%
ETH,3/20/2020,133.32,135.43,151.85,118.07,38.74M,-1.56%
ETH,3/19/2020,135.43,117.76,141.05,115.59,33.78M,15.00%
ETH,3/18/2020,117.77,115.95,117.91,110.16,25.80M,1.47%
ETH,3/17/2020,116.06,111.06,120.6,109.67,27.09M,4.54%
ETH,3/16/2020,111.02,124.35,124.38,102.44,40.25M,-10.72%
ETH,3/15/2020,124.35,122.67,132.13,120.93,26.24M,1.35%
ETH,3/14/2020,122.69,134.02,134.58,121.27,26.83M,-8.43%
ETH,3/13/2020,133.99,107.87,138.86,88.5,60.70M,24.18%
ETH,3/12/2020,107.9,194.57,195.4,102.83,53.51M,-44.55%
ETH,3/11/2020,194.58,200.61,202.96,182.15,21.26M,-2.98%
ETH,3/10/2020,200.56,202.88,205.62,196.17,21.87M,-1.13%
ETH,3/9/2020,202.85,199.21,208.23,190.73,30.27M,1.85%
ETH,3/8/2020,199.16,237.3,237.3,196.71,24.76M,-16.08%
ETH,3/7/2020,237.32,244.87,251.55,236.87,16.90M,-3.10%
ETH,3/6/2020,244.9,228.46,244.98,227.71,17.74M,7.20%
ETH,3/5/2020,228.45,224.36,233.96,224.34,17.82M,1.81%
ETH,3/4/2020,224.38,223.94,228.66,220.74,14.65M,0.20%
ETH,3/3/2020,223.94,231.9,232.37,220.34,18.48M,-3.42%
ETH,3/2/2020,231.87,217.96,234.24,216.23,18.12M,6.37%
ETH,3/1/2020,217.99,217.51,227.44,213,17.17M,0.21%
ETH,2/29/2020,217.52,226.94,232.87,217.43,16.34M,-4.15%
ETH,2/28/2020,226.93,227.6,234.55,214.47,24.11M,-0.26%
ETH,2/27/2020,227.53,224.3,238.07,210.36,28.83M,1.44%
ETH,2/26/2020,224.3,246.97,250.05,216.39,29.55M,-9.18%
ETH,2/25/2020,246.96,265.63,266.17,245.75,20.31M,-7.04%
ETH,2/24/2020,265.65,274.72,276.81,258.15,19.96M,-3.30%
ETH,2/23/2020,274.72,261.65,275.3,261.24,16.04M,5.00%
ETH,2/22/2020,261.64,265.14,266.71,256.97,13.40M,-1.31%
ETH,2/21/2020,265.11,257.32,267.8,254.15,17.46M,3.00%
ETH,2/20/2020,257.39,259.07,264.22,246.46,22.07M,-0.67%
ETH,2/19/2020,259.12,282.33,285.75,253.88,20.76M,-8.20%
ETH,2/18/2020,282.26,267.71,285.59,259.3,24.15M,5.46%
ETH,2/17/2020,267.63,259.92,268.45,242.11,25.61M,2.94%
ETH,2/16/2020,259.99,264.87,273.81,237.89,24.82M,-1.84%
ETH,2/15/2020,264.87,285.17,287.93,262.45,22.26M,-7.15%
ETH,2/14/2020,285.25,268.71,286.34,260.78,19.99M,6.14%
